cd_clean,female,age_bin,educ_bin,race_bin,population
AL-03,0,18-29,college_plus,white,9820
AL-03,0,18-29,college_plus,black,3559
AL-03,0,18-29,college_plus,hispanic,492
AL-03,0,18-29,college_plus,other,633
AL-03,0,30-44,no_college,white,19725
AL-03,0,30-44,no_college,black,7149
AL-03,0,30-44,no_college,hispanic,988
AL-03,0,30-44,no_college,other,1271
AL-03,0,30-44,some_college,white,13539
AL-03,0,30-44,some_college,black,4907
AL-03,0,30-44,some_college,hispanic,678
AL-03,0,30-44,some_college,other,873
AL-03,0,30-44,college_plus,white,9580
AL-03,0,30-44,college_plus,black,3472
AL-03,0,30-44,college_plus,hispanic,480
AL-03,0,30-44,college_plus,other,618
AL-03,0,45-64,no_college,white,28393
AL-03,0,45-64,no_college,black,10290
AL-03,0,45-64,no_college,hispanic,1422
AL-03,0,45-64,no_college,other,1830
AL-03,0,45-64,some_college,white,19489
AL-03,0,45-64,some_college,black,7063
AL-03,0,45-64,some_college,hispanic,976
AL-03,0,45-64,some_college,other,1256
AL-03,0,45-64,college_plus,white,13790
AL-03,0,45-64,college_plus,black,4998
AL-03,0,45-64,college_plus,hispanic,691
AL-03,0,45-64,college_plus,other,889
AL-03,0,65+,no_college,white,17005
AL-03,0,65+,no_college,black,6163
AL-03,0,65+,no_college,hispanic,852
AL-03,0,65+,no_college,other,1096
AL-03,0,65+,some_college,white,11672
AL-03,0,65+,some_college,black,4230
AL-03,0,65+,some_college,hispanic,585
AL-03,0,65+,some_college,other,752
AL-03,0,65+,college_plus,white,8259
AL-03,0,65+,college_plus,black,2993
AL-03,0,65+,college_plus,hispanic,414
AL-03,0,65+,college_plus,other,532
AL-03,1,18-29,no_college,white,19516
AL-03,1,18-29,no_college,black,7073
AL-03,1,18-29,no_college,hispanic,977
AL-03,1,18-29,no_college,other,1258
AL-03,1,18-29,some_college,white,13396
AL-03,1,18-29,some_college,black,4855
AL-03,1,18-29,some_college,hispanic,671
AL-03,1,18-29,some_college,other,864
AL-03,1,18-29,college_plus,white,9478
AL-03,1,18-29,college_plus,black,3435
AL-03,1,18-29,college_plus,hispanic,475
AL-03,1,18-29,college_plus,other,611
AL-03,1,30-44,no_college,white,20686
AL-03,1,30-44,no_college,black,7497
AL-03,1,30-44,no_college,hispanic,1036
AL-03,1,30-44,no_college,other,1333
AL-03,1,30-44,some_college,white,14199
AL-03,1,30-44,some_college,black,5146
AL-03,1,30-44,some_college,hispanic,711
AL-03,1,30-44,some_college,other,915
AL-03,1,30-44,college_plus,white,10047
AL-03,1,30-44,college_plus,black,3641
AL-03,1,30-44,college_plus,hispanic,503
AL-03,1,30-44,college_plus,other,648
AL-03,1,45-64,no_college,white,29422
AL-03,1,45-64,no_college,black,10663
AL-03,1,45-64,no_college,hispanic,1473
AL-03,1,45-64,no_college,other,1897
AL-03,1,45-64,some_college,white,20196
AL-03,1,45-64,some_college,black,7319
AL-03,1,45-64,some_college,hispanic,1011
AL-03,1,45-64,some_college,other,1302
AL-03,1,45-64,college_plus,white,14290
AL-03,1,45-64,college_plus,black,5179
AL-03,1,45-64,college_plus,hispanic,716
AL-03,1,45-64,college_plus,other,921
AL-03,1,65+,no_college,white,21590
AL-03,1,65+,no_college,black,7825
AL-03,1,65+,no_college,hispanic,1081
AL-03,1,65+,no_college,other,1392
AL-03,1,65+,some_college,white,14820
AL-03,1,65+,some_college,black,5371
AL-03,1,65+,some_college,hispanic,742
AL-03,1,65+,some_college,other,955
AL-03,1,65+,college_plus,white,10486
AL-03,1,65+,college_plus,black,3800
AL-03,1,65+,college_plus,hispanic,525
AL-03,1,65+,college_plus,other,676
AL-04,0,18-29,no_college,white,22298
AL-04,0,18-29,no_college,black,1976
AL-04,0,18-29,no_college,hispanic,1888
AL-04,0,18-29,no_college,other,1030
AL-04,0,18-29,some_college,white,14075
AL-04,0,18-29,some_college,black,1247
AL-04,0,18-29,some_college,hispanic,1192
AL-04,0,18-29,some_college,other,650
AL-04,0,18-29,college_plus,white,8241
AL-04,0,18-29,college_plus,black,730
AL-04,0,18-29,college_plus,hispanic,698
AL-04,0,18-29,college_plus,other,381
AL-04,0,30-44,no_college,white,25889
AL-04,0,30-44,no_college,black,2294
AL-04,0,30-44,no_college,hispanic,2193
AL-04,0,30-44,no_college,other,1195
AL-04,0,30-44,some_college,white,16342
AL-04,0,30-44,some_college,black,1448
AL-04,0,30-44,some_college,hispanic,1384
AL-04,0,30-44,some_college,other,755
AL-04,0,30-44,college_plus,white,9568
AL-04,0,30-44,college_plus,black,848
AL-04,0,30-44,college_plus,hispanic,810
AL-04,0,30-44,college_plus,other,442
AL-04,0,45-64,no_college,white,38743
AL-04,0,45-64,no_college,black,3433
AL-04,0,45-64,no_college,hispanic,3281
AL-04,0,45-64,no_college,other,1789
AL-04,0,45-64,some_college,white,24456
AL-04,0,45-64,some_college,black,2167
AL-04,0,45-64,some_college,hispanic,2071
AL-04,0,45-64,some_college,other,1129
AL-04,0,45-64,college_plus,white,14319
AL-04,0,45-64,college_plus,black,1269
AL-04,0,45-64,college_plus,hispanic,1213
AL-04,0,45-64,college_plus,other,661
AL-04,0,65+,no_college,white,24286
AL-04,0,65+,no_college,black,2152
AL-04,0,65+,no_college,hispanic,2057
AL-04,0,65+,no_college,other,1121
AL-04,0,65+,some_college,white,15330
AL-04,0,65+,some_college,black,1359
AL-04,0,65+,some_college,hispanic,1298
AL-04,0,65+,some_college,other,708
AL-04,0,65+,college_plus,white,8976
AL-04,0,65+,college_plus,black,795
AL-04,0,65+,college_plus,hispanic,760
AL-04,0,65+,college_plus,other,414
AL-04,1,18-29,no_college,white,20733
AL-04,1,18-29,no_college,black,1837
AL-04,1,18-29,no_college,hispanic,1756
AL-04,1,18-29,no_college,other,957
AL-04,1,18-29,some_college,white,13088
AL-04,1,18-29,some_college,black,1160
AL-04,1,18-29,some_college,hispanic,1108
AL-04,1,18-29,some_college,other,604
AL-04,1,18-29,college_plus,white,7663
AL-04,1,18-29,college_plus,black,679
AL-04,1,18-29,college_plus,hispanic,649
AL-04,1,18-29,college_plus,other,354
AL-04,1,30-44,no_college,white,26480
AL-04,1,30-44,no_college,black,2347
AL-04,1,30-44,no_college,hispanic,2243
AL-04,1,30-44,no_college,other,1223
AL-04,1,30-44,some_college,white,16716
AL-04,1,30-44,some_college,black,1481
AL-04,1,30-44,some_college,hispanic,1416
AL-04,1,30-44,some_college,other,772
AL-04,1,30-44,college_plus,white,9787
AL-04,1,30-44,college_plus,black,867
AL-04,1,30-44,college_plus,hispanic,829
AL-04,1,30-44,college_plus,other,452
AL-04,1,45-64,no_college,white,39059
AL-04,1,45-64,no_college,black,3462
AL-04,1,45-64,no_college,hispanic,3308
AL-04,1,45-64,no_college,other,1803
AL-04,1,45-64,some_college,white,24656
AL-04,1,45-64,some_college,black,2185
AL-04,1,45-64,some_college,hispanic,2088
AL-04,1,45-64,some_college,other,1138
AL-04,1,45-64,college_plus,white,14436
AL-04,1,45-64,college_plus,black,1279
AL-04,1,45-64,college_plus,hispanic,1223
AL-04,1,45-64,college_plus,other,667
AL-04,1,65+,no_college,white,30450
AL-04,1,65+,no_college,black,2699
AL-04,1,65+,no_college,hispanic,2579
AL-04,1,65+,no_college,other,1406
AL-04,1,65+,some_college,white,19222
AL-04,1,65+,some_college,black,1703
AL-04,1,65+,some_college,hispanic,1628
AL-04,1,65+,some_college,other,888
AL-04,1,65+,college_plus,white,11254
AL-04,1,65+,college_plus,black,997
AL-04,1,65+,college_plus,hispanic,953
AL-04,1,65+,college_plus,other,520
AL-05,0,18-29,no_college,white,14482
AL-05,0,18-29,no_college,black,3630
AL-05,0,18-29,no_college,hispanic,1157
